RegionName;State;Metro;County;City;Zri
South Lake Union;WA;Seattle-Tacoma-Bellevue;King County;Seattle;2325
Tampa-Bayshore Gardens;FL;Tampa-St. Petersburg-Clearwater;Hillsborough County;Tampa;2324
Westlake;WA;Seattle-Tacoma-Bellevue;King County;Seattle;2320
Newlands;CO;Boulder;Boulder County;Boulder;2318
Fiddyment Farm;CA;Sacramento--Roseville--Arden-Arcade;Placer County;Roseville;2318
Corona Hills;CA;Riverside-San Bernardino-Ontario;Riverside County;Corona;2317
Victoria;CA;Riverside-San Bernardino-Ontario;Riverside County;Riverside;2314
Waterside;CT;Bridgeport-Stamford-Norwalk;Fairfield County;Stamford;2314
East New York;NY;New York-Newark-Jersey City;Kings County;New York;2312
Cathedral Canyon Cove;CA;Riverside-San Bernardino-Ontario;Riverside County;Cathedral City;2311
Northside;CA;San Diego-Carlsbad;San Diego County;National City;2310
Romans Park- Arapahoe Acres;CO;Denver-Aurora-Lakewood;Arapahoe County;Englewood;2310
Eastlake;WA;Seattle-Tacoma-Bellevue;King County;Seattle;2310
Utopia;NY;New York-Newark-Jersey City;Queens County;New York;2310
Horsethief Canyon Ranch;CA;Riverside-San Bernardino-Ontario;Riverside County;Corona;2310
Lakeville;CT;Torrington;Litchfield County;Salisbury;2309
Wilmington;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Los Angeles;2307
Peachtree Heights West;GA;Atlanta-Sandy Springs-Roswell;Fulton County;Atlanta;2305
Shippan;CT;Bridgeport-Stamford-Norwalk;Fairfield County;Stamford;2304
Southwest Village;CA;Sacramento--Roseville--Arden-Arcade;Yolo County;West Sacramento;2304
La Sierra Hills;CA;Riverside-San Bernardino-Ontario;Riverside County;Riverside;2303
Southwest Hills;OR;Portland-Vancouver-Hillsboro;Multnomah County;Portland;2303
Frasier Meadows;CO;Boulder;Boulder County;Boulder;2303
Daniel Island;SC;Charleston-North Charleston;Charleston County;Charleston;2302
Bay Terraces;CA;San Diego-Carlsbad;San Diego County;San Diego;2301
Springfield Gardens;NY;New York-Newark-Jersey City;Queens County;New York;2301
Park El Monte;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;El Monte;2300
Golden Hill;CA;San Diego-Carlsbad;San Diego County;San Diego;2294
Moorlands;WA;Seattle-Tacoma-Bellevue;King County;Kenmore;2294
French Hill;MA;Boston-Cambridge-Newton;Middlesex County;Marlborough;2294
Mission Valley East;CA;San Diego-Carlsbad;San Diego County;San Diego;2293
Conservatory;CO;Denver-Aurora-Lakewood;Arapahoe County;Aurora;2293
Mountain View;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;El Monte;2292
Richmond Beach;WA;Seattle-Tacoma-Bellevue;King County;Shoreline;2291
American River Canyon North;CA;Sacramento--Roseville--Arden-Arcade;Sacramento County;Folsom;2290
Bayway Isles;FL;Tampa-St. Petersburg-Clearwater;Pinellas County;Saint Petersburg;2288
Lyon Park;VA;Washington-Arlington-Alexandria;Arlington County;Arlington;2287
East Foothills;CO;Boulder;Boulder County;Boulder;2286
Borough Park;NY;New York-Newark-Jersey City;Kings County;New York;2282
West Side;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Long Beach;2282
Finn Hill;WA;Seattle-Tacoma-Bellevue;King County;Kirkland;2282
Hillcrest;NY;New York-Newark-Jersey City;Rockland County;Ramapo;2280
Mountain View;CA;San Diego-Carlsbad;San Diego County;San Diego;2279
Mission Grove;CA;Riverside-San Bernardino-Ontario;Riverside County;Riverside;2278
Cal-Gisler;CA;Oxnard-Thousand Oaks-Ventura;Ventura County;Oxnard;2278
Faulkner;MA;Boston-Cambridge-Newton;Middlesex County;Malden;2275
Lakewood Village;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Long Beach;2275
Park Estates;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Long Beach;2275
Highland Reserve;CA;Sacramento--Roseville--Arden-Arcade;Placer County;Roseville;2271
Leonardo;NJ;New York-Newark-Jersey City;Monmouth County;Middletown Township;2271
Cortez Hill;CA;San Diego-Carlsbad;San Diego County;San Diego;2271
Eastside;CA;Los Angeles-Long Beach-Anaheim;Orange County;Santa Ana;2269
Stoneridge;CA;Sacramento--Roseville--Arden-Arcade;Placer County;Roseville;2268
Bluff Heights;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Long Beach;2268
Radnor-Ft Myer Heights;VA;Washington-Arlington-Alexandria;Arlington County;Arlington;2267
Hidden Springs;CA;Riverside-San Bernardino-Ontario;Riverside County;Moreno Valley;2264
Wrigley;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Long Beach;2263
Boyle Heights;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Los Angeles;2262
Wallingford;WA;Seattle-Tacoma-Bellevue;King County;Seattle;2262
Arlington Ridge;VA;Washington-Arlington-Alexandria;Arlington County;Arlington;2262
Maple Glen;PA;Philadelphia-Camden-Wilmington;Montgomery County;Upper Dublin Township;2262
Bixby Knolls;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Long Beach;2261
Canyon Crest;CA;Riverside-San Bernardino-Ontario;Riverside County;Riverside;2260
Denny Triangle;WA;Seattle-Tacoma-Bellevue;King County;Seattle;2260
North of Main;MA;Boston-Cambridge-Newton;Middlesex County;Marlborough;2260
Education Hill;WA;Seattle-Tacoma-Bellevue;King County;Redmond;2259
Forest Hills;DC;Washington-Arlington-Alexandria;District of Columbia;Washington;2256
South End;CT;Bridgeport-Stamford-Norwalk;Fairfield County;Stamford;2256
Waikiki;HI;Urban Honolulu;Honolulu County;Honolulu;2255
South Weymouth;MA;Boston-Cambridge-Newton;Norfolk County;Weymouth;2255
Port Monmouth;NJ;New York-Newark-Jersey City;Monmouth County;Middletown Township;2253
Buckhead Forest;GA;Atlanta-Sandy Springs-Roswell;Fulton County;Atlanta;2252
Pike;CO;Boulder;Boulder County;Longmont;2251
Watts;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Los Angeles;2250
Mahopac;NY;New York-Newark-Jersey City;Putnam County;Town Of Carmel;2250
NoMa;DC;Washington-Arlington-Alexandria;District of Columbia;Washington;2248
North Long Beach;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Long Beach;2247
Port Royal;SC;Hilton Head Island-Bluffton-Beaufort;Beaufort County;Hilton Head Island;2247
The Pinehills;MA;Boston-Cambridge-Newton;Plymouth County;Plymouth;2245
Island Estate;FL;Tampa-St. Petersburg-Clearwater;Pinellas County;Clearwater;2245
Belltown;CT;Bridgeport-Stamford-Norwalk;Fairfield County;Stamford;2243
Richmond Highlands;WA;Seattle-Tacoma-Bellevue;King County;Shoreline;2241
Green Lake;WA;Seattle-Tacoma-Bellevue;King County;Seattle;2239
Rose Hill;WA;Seattle-Tacoma-Bellevue;King County;Redmond;2236
Table Mesa South;CO;Boulder;Boulder County;Boulder;2236
West Harpeth;TN;Nashville-Davidson--Murfreesboro--Franklin;Williamson County;Franklin;2235
Tollgate Crossing;CO;Denver-Aurora-Lakewood;Arapahoe County;Aurora;2234
North Beacon Hill;WA;Seattle-Tacoma-Bellevue;King County;Seattle;2233
Buckingham;VA;Washington-Arlington-Alexandria;Arlington County;Arlington;2233
Ridgeway;CT;Bridgeport-Stamford-Norwalk;Fairfield County;Stamford;2233
Lathrop Homes;IL;Chicago-Naperville-Elgin;Cook County;Chicago;2233
Cloverdale;CA;Riverside-San Bernardino-Ontario;Riverside County;Moreno Valley;2232
Oceanfront;FL;Miami-Fort Lauderdale-West Palm Beach;Miami-Dade County;Miami Beach;2231
North Buckhead;GA;Atlanta-Sandy Springs-Roswell;Fulton County;Atlanta;2231
Astoria;NY;New York-Newark-Jersey City;Queens County;New York;2228
Quail Glen;CA;Sacramento--Roseville--Arden-Arcade;Placer County;Roseville;2227
Seneca;CA;Riverside-San Bernardino-Ontario;Riverside County;Moreno Valley;2227
Redwood Village;CA;San Diego-Carlsbad;San Diego County;San Diego;2227
Hazel Grove-Westling Farm;OR;Portland-Vancouver-Hillsboro;Clackamas County;Oregon City;2227
Skyland;CO;Denver-Aurora-Lakewood;Denver County;Denver;2226
University Park Estates;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Long Beach;2226
Rosedale;NY;New York-Newark-Jersey City;Queens County;New York;2224
Belltown;WA;Seattle-Tacoma-Bellevue;King County;Seattle;2224
Sugar Hill;CA;Riverside-San Bernardino-Ontario;Riverside County;Moreno Valley;2224
South Ozone Park;NY;New York-Newark-Jersey City;Queens County;New York;2222
Prospect Lefferts Gardens;NY;New York-Newark-Jersey City;Kings County;New York;2221
Diamond Oaks;CA;Sacramento--Roseville--Arden-Arcade;Placer County;Roseville;2221
Upper West Ridge;WA;Seattle-Tacoma-Bellevue;King County;Woodinville;2221
Laurelton;NY;New York-Newark-Jersey City;Queens County;New York;2219
College Point;NY;New York-Newark-Jersey City;Queens County;New York;2219
Wynwood - Edgewater;FL;Miami-Fort Lauderdale-West Palm Beach;Miami-Dade County;Miami;2219
Carmel Hamlet;NY;New York-Newark-Jersey City;Putnam County;Town Of Carmel;2219
Sunset Park;NY;New York-Newark-Jersey City;Kings County;New York;2218
Ridgewood;NY;New York-Newark-Jersey City;Queens County;New York;2217
Bay Terrace;NY;New York-Newark-Jersey City;Queens County;New York;2217
Coney Island;NY;New York-Newark-Jersey City;Kings County;New York;2216
Spanos Park East;CA;Stockton-Lodi;San Joaquin County;Stockton;2214
Hendricks and Venice Isles;FL;Miami-Fort Lauderdale-West Palm Beach;Broward County;Fort Lauderdale;2214
Grasmere - Concord;NY;New York-Newark-Jersey City;Richmond County;New York;2211
St. Albans;NY;New York-Newark-Jersey City;Queens County;New York;2210
Cambria Heights;NY;New York-Newark-Jersey City;Queens County;New York;2210
Stonegate;CO;Denver-Aurora-Lakewood;Douglas County;Parker;2210
Greektown;IL;Chicago-Naperville-Elgin;Cook County;Chicago;2210
Auburndale;NY;New York-Newark-Jersey City;Queens County;New York;2208
New Utrecht;NY;New York-Newark-Jersey City;Kings County;New York;2208
Columbia City;WA;Seattle-Tacoma-Bellevue;King County;Seattle;2208
Pearl District;OR;Portland-Vancouver-Hillsboro;Multnomah County;Portland;2208
Whitestone;NY;New York-Newark-Jersey City;Queens County;New York;2207
Douglaston-Little Neck;NY;New York-Newark-Jersey City;Queens County;New York;2206
Fitler Square;PA;Philadelphia-Camden-Wilmington;Philadelphia County;Philadelphia;2206
Bridle Trails;WA;Seattle-Tacoma-Bellevue;King County;Bellevue;2205
Beach;FL;Miami-Fort Lauderdale-West Palm Beach;Broward County;Pompano Beach;2205
North Capitol Hill;CO;Denver-Aurora-Lakewood;Denver County;Denver;2204
Fifth Ward;RI;Providence-Warwick;Newport County;Newport;2204
El Cerrito;CA;San Diego-Carlsbad;San Diego County;San Diego;2203
Astoria Heights;NY;New York-Newark-Jersey City;Queens County;New York;2202
Maidu;CA;Sacramento--Roseville--Arden-Arcade;Placer County;Roseville;2202
Riggs Park;DC;Washington-Arlington-Alexandria;District of Columbia;Washington;2201
Harbour Isles;FL;Miami-Fort Lauderdale-West Palm Beach;Broward County;Fort Lauderdale;2201
Graniteville;NY;New York-Newark-Jersey City;Richmond County;New York;2200
Oakmont;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Claremont;2200
Poly High District;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Long Beach;2199
Ala Moana-Kakaako;HI;Urban Honolulu;Honolulu County;Honolulu;2199
Allied Gardens;CA;San Diego-Carlsbad;San Diego County;San Diego;2199
North Queen Anne;WA;Seattle-Tacoma-Bellevue;King County;Seattle;2198
North Beach;WA;Seattle-Tacoma-Bellevue;King County;Seattle;2197
West Side;CT;Bridgeport-Stamford-Norwalk;Fairfield County;Stamford;2196
Alamitos Beach;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Long Beach;2194
Turn of River;CT;Bridgeport-Stamford-Norwalk;Fairfield County;Stamford;2194
North Juanita;WA;Seattle-Tacoma-Bellevue;King County;Kirkland;2194
Streeterville;IL;Chicago-Naperville-Elgin;Cook County;Chicago;2193
La Sierra South;CA;Riverside-San Bernardino-Ontario;Riverside County;Riverside;2192
Greenridge;NY;New York-Newark-Jersey City;Richmond County;New York;2192
Whittier Heights;WA;Seattle-Tacoma-Bellevue;King County;Seattle;2191
East Elmhurst;NY;New York-Newark-Jersey City;Queens County;New York;2190
Brownsville;NY;New York-Newark-Jersey City;Kings County;New York;2189
Mariner's Harbor;NY;New York-Newark-Jersey City;Richmond County;New York;2188
Rose Park;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Long Beach;2188
Regis;CO;Denver-Aurora-Lakewood;Denver County;Denver;2188
Society Hill;NJ;New York-Newark-Jersey City;Middlesex County;Piscataway;2187
East Flatbush;NY;New York-Newark-Jersey City;Kings County;New York;2186
Dyker Heights;NY;New York-Newark-Jersey City;Kings County;New York;2186
Rochdale;NY;New York-Newark-Jersey City;Queens County;New York;2186
Picnic Point;WA;Seattle-Tacoma-Bellevue;Snohomish County;Edmonds;2186
South Cove;WA;Seattle-Tacoma-Bellevue;King County;Issaquah;2186
Martha Lake;WA;Seattle-Tacoma-Bellevue;Snohomish County;Lynnwood;2185
Minor;WA;Seattle-Tacoma-Bellevue;King County;Seattle;2185
Mid - City;CA;Los Angeles-Long Beach-Anaheim;Orange County;Santa Ana;2185
North Quincy;MA;Boston-Cambridge-Newton;Norfolk County;Quincy;2184
Glade Dr - Reston Pky;VA;Washington-Arlington-Alexandria;Fairfax County;Reston;2184
Colonial Heights;NY;New York-Newark-Jersey City;Westchester County;Yonkers;2184
Spanos Park West;CA;Stockton-Lodi;San Joaquin County;Stockton;2183
Ashton Heights;VA;Washington-Arlington-Alexandria;Arlington County;Arlington;2183
Arlington South;CA;Riverside-San Bernardino-Ontario;Riverside County;Riverside;2182
Nauck;VA;Washington-Arlington-Alexandria;Arlington County;Arlington;2181
Belle Harbor;NY;New York-Newark-Jersey City;Queens County;New York;2181
Woodside;NY;New York-Newark-Jersey City;Queens County;New York;2180
Zilker;TX;Austin-Round Rock;Travis County;Austin;2180
Bath Beach;NY;New York-Newark-Jersey City;Kings County;New York;2179
Fresh Meadows;NY;New York-Newark-Jersey City;Queens County;New York;2178
Wakefield;DC;Washington-Arlington-Alexandria;District of Columbia;Washington;2177
Howard Beach;NY;New York-Newark-Jersey City;Queens County;New York;2176
Bulls Head;NY;New York-Newark-Jersey City;Richmond County;New York;2176
Springdale;CT;Bridgeport-Stamford-Norwalk;Fairfield County;Stamford;2176
Southmoor Park;CO;Denver-Aurora-Lakewood;Denver County;Denver;2176
Village 2;CA;Sacramento--Roseville--Arden-Arcade;Sacramento County;Sacramento;2176
Wingate;NY;New York-Newark-Jersey City;Kings County;New York;2175
Fairlington-Shirlington;VA;Washington-Arlington-Alexandria;Arlington County;Arlington;2175
Sloan Lake;CO;Denver-Aurora-Lakewood;Denver County;Denver;2173
Glendale;NY;New York-Newark-Jersey City;Queens County;New York;2172
Fremont;WA;Seattle-Tacoma-Bellevue;King County;Seattle;2172
Hillcrest;NY;New York-Newark-Jersey City;Queens County;New York;2171
Squak Mountain;WA;Seattle-Tacoma-Bellevue;King County;Issaquah;2170
Far Rockaway;NY;New York-Newark-Jersey City;Queens County;New York;2169
Woodhaven;NY;New York-Newark-Jersey City;Queens County;New York;2169
Capitol Hill;WA;Seattle-Tacoma-Bellevue;King County;Seattle;2169
Old West Austin;TX;Austin-Round Rock;Travis County;Austin;2169
Heartland Village;NY;New York-Newark-Jersey City;Richmond County;New York;2167
Briggs Ranch;CA;Sacramento--Roseville--Arden-Arcade;Sacramento County;Folsom;2166
Hollis;NY;New York-Newark-Jersey City;Queens County;New York;2164
Ridgecrest;WA;Seattle-Tacoma-Bellevue;King County;Shoreline;2163
Roscoe Village;IL;Chicago-Naperville-Elgin;Cook County;Chicago;2162
Victoriano;CA;Riverside-San Bernardino-Ontario;Riverside County;Moreno Valley;2162
Broadstone;CA;Sacramento--Roseville--Arden-Arcade;Sacramento County;Folsom;2162
Corona;NY;New York-Newark-Jersey City;Queens County;New York;2160
Bryant;WA;Seattle-Tacoma-Bellevue;King County;Seattle;2160
Garden Hills;GA;Atlanta-Sandy Springs-Roswell;Fulton County;Atlanta;2160
Clearwater Beach;FL;Tampa-St. Petersburg-Clearwater;Pinellas County;Clearwater;2160
Wrigleyville;IL;Chicago-Naperville-Elgin;Cook County;Chicago;2158
Makiki-Lower Punchbowl-Tantalus;HI;Urban Honolulu;Honolulu County;Honolulu;2157
Gatewood;WA;Seattle-Tacoma-Bellevue;King County;Seattle;2157
Rolando;CA;San Diego-Carlsbad;San Diego County;San Diego;2156
Park Hill;NY;New York-Newark-Jersey City;Richmond County;New York;2155
Mueller;TX;Austin-Round Rock;Travis County;Austin;2155
Arroyo Chamisa;NM;Santa Fe;Santa Fe County;Santa Fe;2155
West Woodland;WA;Seattle-Tacoma-Bellevue;King County;Seattle;2154
Woodcreek Oaks;CA;Sacramento--Roseville--Arden-Arcade;Placer County;Roseville;2154
Kennydale;WA;Seattle-Tacoma-Bellevue;King County;Renton;2152
Rainier View;WA;Seattle-Tacoma-Bellevue;King County;Seattle;2152
Broad River;CT;Bridgeport-Stamford-Norwalk;Fairfield County;Norwalk;2152
Whitehouse Station;NJ;New York-Newark-Jersey City;Hunterdon County;Readington Township;2151
Eisenhower East;VA;Washington-Arlington-Alexandria;Alexandria City;Alexandria;2151
Stone Creek;CA;Sacramento--Roseville--Arden-Arcade;Sacramento County;Rancho Cordova;2148
Glenbrook;CT;Bridgeport-Stamford-Norwalk;Fairfield County;Stamford;2147
Belvidere;MA;Boston-Cambridge-Newton;Middlesex County;Lowell;2147
Amerige Heights;CA;Los Angeles-Long Beach-Anaheim;Orange County;Fullerton;2147
Meadowdale;WA;Seattle-Tacoma-Bellevue;Snohomish County;Edmonds;2147
North Dallas;TX;Dallas-Fort Worth-Arlington;Dallas County;Dallas;2146
Cove - East Side;CT;Bridgeport-Stamford-Norwalk;Fairfield County;Stamford;2145
Flushing;NY;New York-Newark-Jersey City;Queens County;New York;2144
Maspeth;NY;New York-Newark-Jersey City;Queens County;New York;2144
Bay Ridge;NY;New York-Newark-Jersey City;Kings County;New York;2142
La Jolla;CA;Riverside-San Bernardino-Ontario;Riverside County;Moreno Valley;2142
Buckhead Village;GA;Atlanta-Sandy Springs-Roswell;Fulton County;Atlanta;2142
Twinbrook;MD;Washington-Arlington-Alexandria;Montgomery County;Rockville;2141
Sunnyside;NY;New York-Newark-Jersey City;Queens County;New York;2140
Randall Manor;NY;New York-Newark-Jersey City;Richmond County;New York;2139
Rosedale;CO;Denver-Aurora-Lakewood;Denver County;Denver;2139
Ozone Park;NY;New York-Newark-Jersey City;Queens County;New York;2138
Bensonhurst;NY;New York-Newark-Jersey City;Kings County;New York;2137
Castle;CA;San Diego-Carlsbad;San Diego County;San Diego;2136
North Rose Hill;WA;Seattle-Tacoma-Bellevue;King County;Kirkland;2136
Seaview;WA;Seattle-Tacoma-Bellevue;King County;Seattle;2136
New Brighton;NY;New York-Newark-Jersey City;Richmond County;New York;2135
Fulton River District;IL;Chicago-Naperville-Elgin;Cook County;Chicago;2134
Chaffee Park;CO;Denver-Aurora-Lakewood;Denver County;Denver;2134
Bayside;NY;New York-Newark-Jersey City;Queens County;New York;2133
New Eastside;IL;Chicago-Naperville-Elgin;Cook County;Chicago;2132
Midland Beach;NY;New York-Newark-Jersey City;Richmond County;New York;2131
Broadlands;CO;Denver-Aurora-Lakewood;Broomfield County;Broomfield;2129
California Heights;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Long Beach;2128
Ridgeview-Webster;CA;San Diego-Carlsbad;San Diego County;San Diego;2128
Takoma;DC;Washington-Arlington-Alexandria;District of Columbia;Washington;2128
Spuyten Duyvil;NY;New York-Newark-Jersey City;Bronx County;New York;2126
Arrochar;NY;New York-Newark-Jersey City;Richmond County;New York;2126
Montclair;MA;Boston-Cambridge-Newton;Norfolk County;Quincy;2126
Jackson Heights;NY;New York-Newark-Jersey City;Queens County;New York;2124
Oakland Gardens;NY;New York-Newark-Jersey City;Queens County;New York;2124
Berrys Chapel;TN;Nashville-Davidson--Murfreesboro--Franklin;Williamson County;Franklin;2123
Kensington;NY;New York-Newark-Jersey City;Kings County;New York;2122
City Center;FL;Miami-Fort Lauderdale-West Palm Beach;Miami-Dade County;Miami Beach;2122
Queens Village;NY;New York-Newark-Jersey City;Queens County;New York;2121
South Beach;NY;New York-Newark-Jersey City;Richmond County;New York;2121
Taylor Run;VA;Washington-Arlington-Alexandria;Alexandria City;Alexandria;2121
Downtown;FL;Miami-Fort Lauderdale-West Palm Beach;Palm Beach County;Boca Raton;2121
North Highland;VA;Washington-Arlington-Alexandria;Arlington County;Arlington;2120
Lower Highlands;MA;Boston-Cambridge-Newton;Middlesex County;Lowell;2119
Murray Hill;NY;New York-Newark-Jersey City;Queens County;New York;2118
First Hill;WA;Seattle-Tacoma-Bellevue;King County;Seattle;2117
Holliswood;NY;New York-Newark-Jersey City;Queens County;New York;2117
King Farm;MD;Washington-Arlington-Alexandria;Montgomery County;Rockville;2117
Bellerose;NY;New York-Newark-Jersey City;Queens County;New York;2116
Highlands;MA;Boston-Cambridge-Newton;Middlesex County;Lowell;2116
Middle Village;NY;New York-Newark-Jersey City;Queens County;New York;2115
Wiehle Ave - Reston Pky;VA;Washington-Arlington-Alexandria;Fairfax County;Reston;2115
Wyndham;VA;Richmond;Henrico County;Glen Allen;2115
Langdon;DC;Washington-Arlington-Alexandria;District of Columbia;Washington;2115
Campus Commons;CA;Sacramento--Roseville--Arden-Arcade;Sacramento County;Sacramento;2115
Forest Hills;NY;New York-Newark-Jersey City;Queens County;New York;2114
Fort Logan;CO;Denver-Aurora-Lakewood;Denver County;Denver;2114
South Pointe;FL;Miami-Fort Lauderdale-West Palm Beach;Miami-Dade County;Miami Beach;2114
Great Kills;NY;New York-Newark-Jersey City;Richmond County;New York;2113
Cheesman Park;CO;Denver-Aurora-Lakewood;Denver County;Denver;2113
Flax Hill;CT;Bridgeport-Stamford-Norwalk;Fairfield County;Norwalk;2112
Arden Heights;NY;New York-Newark-Jersey City;Richmond County;New York;2111
Creekside;CA;Sacramento--Roseville--Arden-Arcade;Sacramento County;Sacramento;2110
Kew Gardens Hills;NY;New York-Newark-Jersey City;Queens County;New York;2109
The Heights;NJ;New York-Newark-Jersey City;Hudson County;Jersey City;2108
Bixby Area;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Long Beach;2108
Willowcreek;CA;Sacramento--Roseville--Arden-Arcade;Sacramento County;Sacramento;2108
North Chelmsford;MA;Boston-Cambridge-Newton;Middlesex County;Chelmsford;2107
Highland;CO;Denver-Aurora-Lakewood;Denver County;Denver;2107
Old Town;NY;New York-Newark-Jersey City;Richmond County;New York;2107
Strathmore;NJ;New York-Newark-Jersey City;Monmouth County;Matawan;2107
Bergen Beach;NY;New York-Newark-Jersey City;Kings County;New York;2107
Downtown;HI;Urban Honolulu;Honolulu County;Honolulu;2106
City Island;NY;New York-Newark-Jersey City;Bronx County;New York;2106
The Loop;IL;Chicago-Naperville-Elgin;Cook County;Chicago;2105
East Sacramento;CA;Sacramento--Roseville--Arden-Arcade;Sacramento County;Sacramento;2104
Woodridge;DC;Washington-Arlington-Alexandria;District of Columbia;Washington;2104
Montbello;CO;Denver-Aurora-Lakewood;Denver County;Denver;2102
North Weymouth;MA;Boston-Cambridge-Newton;Norfolk County;Weymouth;2101
Govalle;TX;Austin-Round Rock;Travis County;Austin;2101
Downtown;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Long Beach;2100
North Park Hill;CO;Denver-Aurora-Lakewood;Denver County;Denver;2100
North City;WA;Seattle-Tacoma-Bellevue;King County;Shoreline;2100
Broad Channel;NY;New York-Newark-Jersey City;Queens County;New York;2100
Martin Acres;CO;Boulder;Boulder County;Boulder;2099
Downtown;FL;Miami-Fort Lauderdale-West Palm Beach;Miami-Dade County;Miami;2098
Central Beach Alliance;FL;Miami-Fort Lauderdale-West Palm Beach;Broward County;Fort Lauderdale;2098
Cleveland Park;DC;Washington-Arlington-Alexandria;District of Columbia;Washington;2096
Floral park;NY;New York-Newark-Jersey City;Queens County;New York;2095
Flatbush;NY;New York-Newark-Jersey City;Kings County;New York;2094
Central Weymouth;MA;Boston-Cambridge-Newton;Norfolk County;Weymouth;2094
Central Business District;CO;Denver-Aurora-Lakewood;Denver County;Denver;2094
Issaquah Valley;WA;Seattle-Tacoma-Bellevue;King County;Issaquah;2093
Uptown;WA;Seattle-Tacoma-Bellevue;King County;Seattle;2091
Edgewood;DC;Washington-Arlington-Alexandria;District of Columbia;Washington;2091
Sheepshead Bay;NY;New York-Newark-Jersey City;Kings County;New York;2090
Sunset Hills;VA;Washington-Arlington-Alexandria;Fairfax County;Reston;2090
Glover Park;DC;Washington-Arlington-Alexandria;District of Columbia;Washington;2090
Fairview;NJ;New York-Newark-Jersey City;Monmouth County;Middletown Township;2090
Kay-Catherine;RI;Providence-Warwick;Newport County;Newport;2090
La Sierra Acres;CA;Riverside-San Bernardino-Ontario;Riverside County;Riverside;2088
The Meadows;CO;Denver-Aurora-Lakewood;Douglas County;Castle Rock;2088
Penn Wynne;PA;Philadelphia-Camden-Wilmington;Montgomery County;Wynnewood;2088
Baychester;NY;New York-Newark-Jersey City;Bronx County;New York;2087
Willowbrook;NY;New York-Newark-Jersey City;Richmond County;New York;2087
Grand;CA;Riverside-San Bernardino-Ontario;Riverside County;Riverside;2087
Stroh Ranch;CO;Denver-Aurora-Lakewood;Douglas County;Parker;2087
Clason Point;NY;New York-Newark-Jersey City;Bronx County;New York;2086
Westerleigh;NY;New York-Newark-Jersey City;Richmond County;New York;2086
Wood Streets;CA;Riverside-San Bernardino-Ontario;Riverside County;Riverside;2085
Meiers Corners;NY;New York-Newark-Jersey City;Richmond County;New York;2084
River Walk;FL;Miami-Fort Lauderdale-West Palm Beach;Palm Beach County;West Palm Beach;2083
Natomas Creek;CA;Sacramento--Roseville--Arden-Arcade;Sacramento County;Sacramento;2082
South Juanita;WA;Seattle-Tacoma-Bellevue;King County;Kirkland;2081
Bay Terrace;NY;New York-Newark-Jersey City;Richmond County;New York;2081
Duncan Park;CO;Denver-Aurora-Lakewood;Arapahoe County;Englewood;2081
Crown Hill;WA;Seattle-Tacoma-Bellevue;King County;Seattle;2080
East End;ME;Portland-South Portland;Cumberland County;Portland;2080
Tower Vista;OR;Portland-Vancouver-Hillsboro;Clackamas County;Oregon City;2080
Adams;WA;Seattle-Tacoma-Bellevue;King County;Seattle;2078
South Central Beach;FL;Miami-Fort Lauderdale-West Palm Beach;Broward County;Hollywood;2078
Alderwood Manor;WA;Seattle-Tacoma-Bellevue;Snohomish County;Lynnwood;2077
Zaferia;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Long Beach;2077
East Side;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Long Beach;2076
Presidential Park;CA;Riverside-San Bernardino-Ontario;Riverside County;Riverside;2074
Gravesend;NY;New York-Newark-Jersey City;Kings County;New York;2073
Stapleton;NY;New York-Newark-Jersey City;Richmond County;New York;2073
Desert View;AZ;Phoenix-Mesa-Scottsdale;Maricopa County;Phoenix;2072
Cameron Park;CA;Sacramento--Roseville--Arden-Arcade;El Dorado County;Shingle Springs;2072
Airport;CA;Riverside-San Bernardino-Ontario;Riverside County;Riverside;2072
Lake Shore;WA;Portland-Vancouver-Hillsboro;Clark County;Vancouver;2071
Parkwood;WA;Seattle-Tacoma-Bellevue;King County;Shoreline;2071
La Sierra;CA;Riverside-San Bernardino-Ontario;Riverside County;Riverside;2070
Brighton Beach;NY;New York-Newark-Jersey City;Kings County;New York;2070
